ds,yhat,yhat_lower,yhat_upper
2026-06-01,31.869682712210906,29.57140942188718,34.24052744740432
2026-06-02,31.169587717205147,28.672735966853473,33.6293129899768
2026-06-03,32.54938399558492,30.018600161521473,34.90215331241093
2026-06-04,34.125052734500244,31.572374022576266,36.52694615127144
2026-06-05,32.23081002490146,29.734337664640858,34.666314016592594
2026-06-06,32.71449568365066,30.00476270884996,35.17371720990853
2026-06-07,32.28582672263078,29.85676442831374,34.59873618227547
2026-06-08,32.42920858850663,29.95039313482003,35.09846390190022
2026-06-09,31.729113593044612,29.27217462100331,34.230178913144556
2026-06-10,33.108909870699925,30.581145816908226,35.49592474573626
2026-06-11,34.684578608972224,32.09532384814347,37.202385715350616
2026-06-12,32.790335899005136,30.281919342108722,35.32371339068496
2026-06-13,33.2740215576818,30.840919390730278,35.73455236654584
2026-06-14,32.84535259657578,30.416269769778463,35.17419825269439
2026-06-15,32.98873446227876,30.45916513402396,35.31310103557765
2026-06-16,32.28863946684651,29.718717769815868,34.554709934526045
2026-06-17,33.668435744450456,31.34119222978911,36.23721320543979
2026-06-18,35.24410447529763,32.7740664329661,37.608531130911665
2026-06-19,33.349861757774285,30.889902251394854,36.003975978968924
2026-06-20,33.833547408875035,31.46813756661553,36.47292888484889
2026-06-21,33.404877857517064,31.06783249541938,35.71637049008194
2026-06-22,33.54825904003009,31.02560875095851,35.89011640251851
2026-06-23,32.84816336100526,30.328468667144744,35.298160418308946
2026-06-24,34.227958955497364,31.91125826457243,36.638528628431025
2026-06-25,35.80362701042527,33.365664188119744,38.08992369956548
2026-06-26,33.90938361693852,31.583924631505077,36.48723406330868
2026-06-27,34.39306859198791,31.831736707510963,36.78325533309539
2026-06-28,33.964398947353224,31.5246602941935,36.449639775458
2026-06-29,34.10778012973955,31.598020140790368,36.461246961162956
2026-06-30,33.407684450835376,31.039299894893816,35.91754176474942
2026-07-01,34.78748004525504,32.3419084084231,37.51310812879512
2026-07-02,36.363148100180226,33.85704268963743,38.97388352360151
2026-07-03,34.46890470669441,32.12228123162984,36.818046696808054
2026-07-04,34.95258968174565,32.46969845138411,37.27660875535743
2026-07-05,34.5239200371109,31.937960765974836,36.99634295183049
2026-07-06,34.667301219491925,32.16942410022814,37.094403763618935
2026-07-07,33.96720554059375,31.64140507552514,36.42471951783646
2026-07-08,35.3470011350162,32.93516695474212,37.66025536301631
2026-07-09,36.92266918993887,34.435132191252684,39.183695123553235
2026-07-10,35.028425796451415,32.58216049494317,37.59629650787081
2026-07-11,35.51211077150284,33.04213088865202,37.85777252394205
2026-07-12,35.083441126868586,32.74859346946796,37.531119586793196
2026-07-13,35.22682230925077,32.88269852368009,37.736918200410834
2026-07-14,34.52672663034995,32.10458704179769,37.167294426814436
2026-07-15,35.906522224777355,33.520801871233246,38.24026619758542
2026-07-16,37.482190279696376,35.01583783989834,39.820028298917954
2026-07-17,35.587946886210524,33.28743912883048,38.18056945326124
2026-07-18,36.07163186126002,33.79535294860276,38.48896007260745
2026-07-19,35.64296221662417,33.18037840265365,38.28256335148713
2026-07-20,35.786343399010725,33.5135927372892,38.34580815563005
2026-07-21,35.0862477201046,32.87353557987713,37.49054317320579
2026-07-22,36.46604331453502,33.86021712725527,38.93854118162276
2026-07-23,38.041711369453886,35.55734990850299,40.44189067662393
2026-07-24,36.14746797596753,33.644307696467514,38.624924857310205
2026-07-25,36.63115295101621,34.043018062215886,39.084188539074034
2026-07-26,36.202483306379754,33.620589039498384,38.699095754964816
2026-07-27,36.345864488766324,34.009912508553185,38.66575916072615
2026-07-28,35.6457688098667,33.19027045262591,37.99009904769483
2026-07-29,37.025564404292695,34.63775371626587,39.44117144172721
2026-07-30,38.60123245920884,36.06374189213759,40.94267492153957
2026-07-31,36.70698906572341,34.20384480020026,39.15037159781134
